id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1391430119294570499,1391430119294570499,2021-05-09 11:29:26 CDT,2021-05-09,11:29:26,-0500,1261540915258294272,stocktrader5550,stock trader,,"🎯Another day went pretty well   ✅Big or small ,Gain is what it matters  Check us out 📊📈  $ENZC $IPIX $NSAV $HCMC $CYDY $NWBO $TSNP $AABB $RXMDND $CYDY $GRCV $CWGYF $GSFI $IPWG $GMEV $TMDI $DECN $ONCI $ATWT $YIPI $AGYP $ROKU  https://t.co/z0H9bXBgYo",en,[],[],['https://pbs.twimg.com/media/E09aSm6XoAExHwo.jpg'],0,7,6,[],"['enzc', 'ipix', 'nsav', 'hcmc', 'cydy', 'nwbo', 'tsnp', 'aabb', 'rxmdnd', 'cydy', 'grcv', 'cwgyf', 'gsfi', 'ipwg', 'gmev', 'tmdi', 'decn', 'onci', 'atwt', 'yipi', 'agyp', 'roku']",https://twitter.com/stocktrader5550/status/1391430119294570499,False,,1,https://pbs.twimg.com/media/E09aSm6XoAExHwo.jpg,,,,,,,[],,,,
1391416118758285313,1391416118758285313,2021-05-09 10:33:48 CDT,2021-05-09,10:33:48,-0500,1341072907993268224,mystockvault,My Stock Vault,,"1/ $ROKU Q1-21 Shareholder Letter and CC THREAD  My thoughts on my highest conviction position at the moment.  If you want to read the letter in its entirety, see here:  https://t.co/nYF3tYZdz6  If you want to listen to the call:  https://t.co/DdYLV3Mek1",en,[],"['https://ir.roku.com/static-files/8233f1fa-0263-4bb5-adb4-f0545a06a246', 'https://ir.roku.com/events/event-details/q1-2021-roku-earnings-conference-call']",[],1,2,9,[],['roku'],https://twitter.com/mystockvault/status/1391416118758285313,False,,0,,,,,,,,[],,,,
1391411386153152521,1391411386153152521,2021-05-09 10:15:00 CDT,2021-05-09,10:15:00,-0500,17525171,variety,Variety,,$ROKU Q1 Review: Stock Rebound Won’t Silence Skeptics  https://t.co/vsD0LO85rH  https://t.co/fW9h7KalRK,en,[],['http://is.gd/NyULYj'],['https://pbs.twimg.com/media/E00wdIHUcAIMzOs.jpg'],0,2,22,[],['roku'],https://twitter.com/Variety/status/1391411386153152521,False,,1,https://pbs.twimg.com/media/E00wdIHUcAIMzOs.jpg,,,,,,,[],,,,
1391397736839368705,1391397736839368705,2021-05-09 09:20:46 CDT,2021-05-09,09:20:46,-0500,1318715184609898509,diamondoptions2,Diamond Options💎,,You don’t want to miss another week like last week. Trust us.  $FSLY +346% $QQQ +207% $NIO +194% $JMIA +166% $GPRO +140% $GLD +108% $PTON +88% #DiamondClub $12/Week  $SQ $TSLA $PLTR $SOS $FUBO $NVDA $GME $NAKD $ROKU $SKLZ  https://t.co/lRIIeY4xBw,en,[],[],"['https://pbs.twimg.com/media/E0883Z-XIAYS54G.jpg', 'https://pbs.twimg.com/media/E0883Z-XEAApczW.jpg']",1,3,9,['diamondclub'],"['fsly', 'qqq', 'nio', 'jmia', 'gpro', 'gld', 'pton', 'sq', 'tsla', 'pltr', 'sos', 'fubo', 'nvda', 'gme', 'nakd', 'roku', 'sklz']",https://twitter.com/diamondoptions2/status/1391397736839368705,False,,1,https://pbs.twimg.com/media/E0883Z-XIAYS54G.jpg,,,,,,,[],,,,
1391392789955555329,1391392789955555329,2021-05-09 09:01:06 CDT,2021-05-09,09:01:06,-0500,969571031030616071,trendspider,TrendSpider,,"Good morning &amp; Happy Mother's Day to all the mother's out there!!  If you have some time this morning, check out the weekend video update below!  Watch here:  https://t.co/6IoeTqyCtb  Reviewed: $SPY  $QQQ $IWM $DIA $GDX $VIX $BTCUSD  $ETHUSD #Dogecoin  $PLTR $TWTR $SQ $TSLA $ROKU  https://t.co/r6lCDCccql",en,[],['https://youtu.be/OVWpE1xwlqM'],['https://pbs.twimg.com/media/E084XNqXMAQsuM0.jpg'],0,5,21,['dogecoin'],"['spy', 'qqq', 'iwm', 'dia', 'gdx', 'vix', 'btcusd', 'ethusd', 'pltr', 'twtr', 'sq', 'tsla', 'roku']",https://twitter.com/TrendSpider/status/1391392789955555329,False,,1,https://pbs.twimg.com/media/E084XNqXMAQsuM0.jpg,,,,,,,[],,,,
1391364248199000064,1391364248199000064,2021-05-09 07:07:41 CDT,2021-05-09,07:07:41,-0500,1330806862040612866,passinvestcom,パス@投資ブロガー,,$ROKU 成長率加速してるんですね😊  巣ごもり特需がなくなるとしても、これから安定成長しそうですね📈  https://t.co/GkhGzXHWj6,ja,[],[],['https://pbs.twimg.com/media/E08eaKpVEAUXQsq.jpg'],0,0,39,[],['roku'],https://twitter.com/passinvestcom/status/1391364248199000064,False,,1,https://pbs.twimg.com/media/E08eaKpVEAUXQsq.jpg,,,,,,,[],,,,
1391328823254425603,1391328823254425603,2021-05-09 04:46:55 CDT,2021-05-09,04:46:55,-0500,1350110454367072257,thestocktrader2,Free Stock Tips,,PRICE UPDATE‼️💰 $ROKU is already back up 13.2% ✅📈🚀  - Did anyone else buy any during the dip?📉,en,[],[],[],0,1,12,[],['roku'],https://twitter.com/TheStockTrader2/status/1391328823254425603,False,https://twitter.com/TheStockTrader2/status/1390354604588732416,0,,,,,,,,[],,,,
1391302890006802435,1391302890006802435,2021-05-09 03:03:52 CDT,2021-05-09,03:03:52,-0500,1081392668331073537,takorinn371,たこりん＠やっぱり米国株🇺🇸,,保有銘柄　5/9現在 中・長期 $TSLA $ROKU $DDOG $DOCU  短期・スイング $YALA $VUZI $TECL $SOXL  ほったらかし枠 $YI $WISH  $MRNA $CRSR $SKLZ $NNOX 損切り $APPS $UPST $ZI $X $CLF 利確 だいぶすっきりしてきましたね😂 後は今週決算の $VUZI $YALA ここまで引っ張ったんで決算見て処分します🤔,ja,[],[],[],1,0,60,[],"['tsla', 'roku', 'ddog', 'docu', 'yala', 'vuzi', 'tecl', 'soxl', 'yi', 'wish', 'mrna', 'crsr', 'sklz', 'nnox', 'apps', 'upst', 'zi', 'x', 'clf', 'vuzi', 'yala']",https://twitter.com/takorinn371/status/1391302890006802435,False,https://twitter.com/takorinn371/status/1389184046513623043,0,,,,,,,,[],,,,
1391264829214580739,1391264829214580739,2021-05-09 00:32:38 CDT,2021-05-09,00:32:38,-0500,402691561,hokurol,jim＄米国株投資,,【決算成績表5月】 個人的注目の決算成績表を記載しました🦍 ※良い決算 ①EPS&gt;コンセンサス予想 ②売上高&gt;コンセンサス予想 ③ガイダンス&gt;コンセンサス予想  明暗分かれました🆚 今後の株価に反映されると信じています。 $ZI $PYPL $TWLO $RKT $ROOT $SQ $FVRR $ROKU $DKNG   https://t.co/YMUdOX5Bbe  https://t.co/J6xDRsbTPr,ja,[],['https://power-bi-seminar.site/1984/'],['https://pbs.twimg.com/media/E07CeASVEAUU-_D.png'],0,0,6,[],"['zi', 'pypl', 'twlo', 'rkt', 'root', 'sq', 'fvrr', 'roku', 'dkng']",https://twitter.com/hokurol/status/1391264829214580739,False,,1,https://pbs.twimg.com/media/E07CeASVEAUU-_D.png,,,,,,,[],,,,
1391257944000385024,1391257944000385024,2021-05-09 00:05:16 CDT,2021-05-09,00:05:16,-0500,187757308,ryurku_ore,りゅーthe FIRE ONE JAPAN/ONE X/塩尻特任CIO,,$ROKU !! 決算マジで感動したなぁ。,ja,[],[],[],0,0,6,[],['roku'],https://twitter.com/Ryurku_ore/status/1391257944000385024,False,https://twitter.com/strainerjp/status/1391226594211950592,0,,,,,,,,[],,,,
